date,dengue_fever_cases,dhf_cases,daily_max_temp,daily_min_temp,extreme_max_temp,extreme_min_temp,total_rainfall,total_highest_daily_rainfall,no_of_rainy_days,sunshine_daily_mean,min_relative_humidity,mean_daily_humidity,monthly_mean_temp
2012-01-31,332,6,30.6,24.3,32.5,21.5,106.1,26.2,16.0,6.0,59.0,87.3,26.7
2012-02-29,257,1,31.1,24.8,32.9,22.7,83.6,38.4,11.0,7.0,55.0,85.6,27.2
2012-03-31,229,2,31.1,24.4,33.2,21.1,313.4,92.3,21.0,4.2,58.0,87.3,27.0
2012-04-30,360,3,31.4,24.8,32.9,21.9,260.6,48.4,20.0,5.8,54.0,85.1,27.6
2012-05-31,337,1,31.7,24.8,33.7,22.0,292.0,79.2,19.0,5.6,52.0,83.1,28.2
2012-06-30,465,3,31.6,26.3,32.7,22.8,53.0,38.2,8.0,6.0,49.0,79.0,28.7
2012-07-31,599,2,30.8,25.3,32.1,22.9,130.8,35.4,17.0,6.2,48.0,81.1,27.7
2012-08-31,436,0,31.0,25.4,32.7,23.1,119.0,31.0,12.0,6.1,54.0,79.8,27.9
2012-09-30,422,4,31.3,25.3,32.7,22.5,107.6,35.8,10.0,5.6,49.0,79.7,27.9
2012-10-31,415,1,31.7,25.2,33.1,23.5,122.2,22.6,13.0,5.9,51.0,81.3,27.7
2012-11-30,365,3,31.4,24.7,32.8,23.4,208.2,49.2,22.0,4.4,51.0,85.4,27.1
2012-12-31,385,4,30.6,24.4,32.2,22.2,363.4,78.8,22.0,3.6,61.0,87.0,26.7
2013-01-31,819,6,30.8,24.6,35.2,21.6,262.0,73.0,15.0,6.0,42.0,82.1,27.1
2013-02-28,1154,4,30.1,24.3,32.5,21.5,395.2,95.2,22.0,4.0,54.0,86.9,26.5
2013-03-31,1445,8,32.4,25.6,33.8,23.9,85.8,29.6,10.0,7.5,48.0,80.4,28.3
2013-04-30,1934,11,32.1,25.3,34.9,22.1,159.4,41.6,19.0,5.2,46.0,82.7,28.2
2013-05-31,2351,5,31.8,25.6,33.9,22.9,211.4,46.2,17.0,5.4,45.0,83.1,28.2
2013-06-30,4000,17,32.6,25.9,34.5,22.6,111.4,22.4,12.0,6.4,36.0,74.6,29.0
2013-07-31,1910,5,31.1,25.2,33.5,22.9,174.6,37.4,15.0,5.7,43.0,79.9,27.8
2013-08-31,1259,5,31.0,25.1,32.8,21.6,165.6,43.2,15.0,6.1,50.0,79.0,27.9
2013-09-30,1940,19,30.6,24.8,32.9,21.9,257.0,52.6,19.0,4.6,48.0,81.3,27.5
2013-10-31,1740,8,31.4,24.6,33.2,20.9,285.4,139.8,19.0,6.3,42.0,79.9,27.7
2013-11-30,1665,4,31.3,24.5,32.9,22.9,292.4,44.0,22.0,4.5,51.0,84.6,27.1
2013-12-31,1884,1,30.2,24.1,33.7,21.2,348.2,119.8,21.0,3.5,45.0,85.8,26.5
2014-01-31,1652,1,29.6,24.0,31.8,22.4,75.4,31.2,5.0,5.3,49.0,78.5,26.2
2014-02-28,1069,2,31.9,24.5,33.8,22.4,0.2,0.2,1.0,8.8,43.0,74.5,27.2
2014-03-31,1054,3,32.8,25.1,34.4,23.6,66.0,52.6,6.0,8.0,38.0,76.0,27.9
2014-04-30,1001,1,32.4,25.5,34.5,22.8,110.0,28.8,17.0,5.7,44.0,80.0,28.2
2014-05-31,1230,1,32.1,25.8,33.8,23.0,125.8,22.4,18.0,5.8,48.0,80.2,28.6
2014-06-30,2641,2,32.1,26.3,33.6,23.0,71.4,18.8,11.0,6.0,45.0,77.5,29.0
2014-07-31,3083,7,31.6,25.8,33.2,21.1,148.6,29.0,15.0,5.5,53.0,78.3,28.7
2014-08-31,2252,0,30.4,25.2,31.9,22.0,241.0,44.2,20.0,4.5,53.0,79.7,27.7
2014-09-30,1441,2,31.8,25.7,33.2,22.4,83.6,34.6,9.0,7.0,37.0,75.6,28.5
2014-10-31,1127,0,32.1,25.7,34.1,24.0,120.0,32.8,10.0,6.0,40.0,77.0,28.4
2014-11-30,823,1,31.6,24.8,33.4,22.2,250.8,64.4,23.0,5.4,53.0,82.4,27.5
2014-12-31,775,0,30.6,24.7,33.6,22.4,245.6,48.2,17.0,3.7,51.0,82.6,27.0
2015-01-31,1138,1,30.7,24.6,32.4,23.3,79.6,33.6,6.0,7.4,49.0,77.6,26.9
2015-02-28,656,1,31.3,24.4,33.6,23.1,18.8,10.8,6.0,7.3,49.0,75.4,27.0
2015-03-31,609,3,32.5,25.5,34.4,23.4,84.4,46.0,5.0,7.3,47.0,75.8,28.2
2015-04-30,477,0,33.2,25.9,34.4,24.0,73.2,18.8,13.0,7.2,48.0,77.1,28.6
2015-05-31,730,4,32.2,26.4,34.2,24.0,89.0,22.2,12.0,5.8,46.0,78.9,28.7
2015-06-30,881,1,32.0,26.6,34.3,24.2,95.8,28.4,10.0,6.7,42.0,75.8,29.0
2015-07-31,1078,0,31.9,26.7,32.7,22.1,116.8,45.8,13.0,7.1,51.0,74.9,29.1
2015-08-31,1168,0,31.2,26.0,33.1,22.6,185.8,63.2,11.0,6.1,40.0,76.7,28.4
2015-09-30,991,0,31.7,26.5,33.2,23.1,61.6,18.4,8.0,4.3,40.0,75.0,28.7
2015-10-31,940,0,32.2,26.1,33.6,21.9,87.2,28.6,9.0,4.7,35.0,75.4,28.7
2015-11-30,1262,1,32.1,25.5,33.6,23.7,72.6,25.8,13.0,4.8,47.0,79.1,28.0
2015-12-31,1519,1,31.5,25.0,33.1,22.5,302.0,40.4,19.0,5.3,49.0,81.1,27.7
2016-01-31,2969,4,31.8,26.0,32.8,22.9,126.6,39.6,15.0,7.2,55.0,79.6,28.3
2016-02-29,1932,5,31.1,25.6,32.7,23.3,186.0,71.8,10.0,6.5,55.0,78.8,27.8
2016-03-31,1451,5,33.1,26.6,34.1,25.4,6.2,2.4,6.0,8.0,47.0,74.7,29.0
2016-04-30,990,2,33.4,26.7,35.0,25.3,89.8,18.2,14.0,7.0,46.0,75.6,29.4
